Peso específico (kN/m³),Ángulo de fricción (°),Cohesión (kPa),Altura del talud (m),Ángulo del talud (°),kh,Slope stability
16.5,16.5,21,49,81,0,0.3498
15,15.5,11,35,72,0,0.3447
18,31.5,0,36,66,0,0.3445
19,33,0,46,78,0,0.353
19.5,18,15,32.75,84,0,0.3451
17,25,17,44,85,0,0.4036
21.5,35,0,21.75,63,0,0.3665
19,31.5,1,34,89,0,0.3544
20.5,29,12,34.5,87,0,0.4109
17,30.5,6,47.5,86,0,0.3783
19,22.5,13,47.5,87,0,0.3453
18.5,28,12,48.5,85,0,0.3899
21,34.5,16,48.25,87,0,0.4433
19,33,8,41.5,79,0,0.4279
17.5,22.5,11,35.75,81,0,0.3732
20,20,18,49,85,0,0.3415
19.5,29,16,39.5,86,0,0.4272
19,21.5,18,29.75,89,0,0.4004
18,33.5,5,29.5,82,0,0.4169
18,33.5,0,23,79,0,0.3569
20.5,31.5,10,32,86,0,0.4228
17.5,26,12,48.75,83,0,0.3817
19,33.5,0,12.5,83,0,0.3568
19,34,0,22.5,80,0,0.3595
17.5,22.5,21,46.25,83,0,0.4029
16,20,19,41.5,84,0,0.387
17.5,27,17,44.75,83,0,0.4271
16,22,15,38,80,0,0.4039
14.5,18.5,19,46.25,50,0,0.5411
16,20.5,22,46,72,0,0.4532
19.5,29,5,20.75,57,0,0.5342
19,28.5,9,13.25,80,0,0.519
19,21,15,18.5,82,0,0.4635
17,22.5,38,43.5,81,0,0.5159
18,32.5,3,28.5,53,0,0.5377
20,40,5,37.25,62,0,0.5795
21,29,6,11.75,57,0,0.6455
18,29.5,15,36,59,0,0.6236
18,20.5,25,35.75,87,0,0.4187
17.5,23,17,32.5,64,0,0.5353
21,34,15,31,68,0,0.6028
20.5,35.5,14,22.5,80,0,0.5624
17,28.5,14,46.25,52,0,0.6205
19,22.5,15,13.5,84,0,0.5193
17.5,28,46,36.5,81,0,0.6313
17.5,25,29,20.75,87,0,0.5028
16.5,23.5,22,41.25,81,0,0.452
17.5,24,18,39,50,0,0.6242
18,29,5,27.25,60,0,0.4873
19.5,29.5,5,6.25,82,0,0.536
17.5,27,7,49.5,45,0,0.5345
18,31.5,7,35.5,67,0,0.4782
17.5,28.5,2,22,48,0,0.4998
17.5,32.5,5,21.25,73,0,0.475
16.5,18,22,27.25,80,0,0.4636
16,23,18,13.75,82,0,0.5464
17,25,11,22.75,55,0,0.6212
16.5,20.5,27,19.25,87,0,0.4684
17,16,16,20,37,0,0.6624
15.5,18.5,19,9.75,74,0,0.5963
16,31.5,6,42.5,42,0,0.6549
18.5,28.5,6,21.75,39,0,0.6863
20,24,22,40.75,45,0,0.6659
18.5,23.5,18,39.25,47,0,0.6241
20,33,4,20,46,0,0.6696
20,36,2,45.75,45,0,0.6012
17,31,8,38.75,47,0,0.6466
20,29,5,35.5,36,0,0.6129
17.5,28,22,39.25,56,0,0.6934
16,24,18,26.5,44,0,0.7793
18,32.5,20,48.25,57,0,0.6939
19,35.5,20,32.5,61,0,0.7814
18.5,31,34,44.25,54,0,0.8418
19.5,24,18,12.25,73,0,0.6847
17.5,24,27,13.75,82,0,0.5638
18,22,41,25.5,79,0,0.5859
17,32,24,15.25,85,0,0.5951
19.5,30,20,25.5,55,0,0.7982
19.5,30.5,10,29.75,47,0,0.6895
18,33,8,18,51,0,0.7742
16.5,26.5,5,14,41,0,0.6964
20,30,15,41.75,49,0,0.6733
16.5,34.5,9,21.5,58,0,0.733
18,35.5,10,5.25,88,0,0.5804
16,24.5,24,20.5,75,0,0.6556
16.5,25,15,37.5,39,0,0.6963
19,25,15,36.75,44,0,0.6467
18,21.5,20,30.25,50,0,0.6548
14,21,11,18.5,30,0,0.7795
16.5,16,19,12,48,0,0.851
14,22,19,16.5,49,0,0.9121
14.5,19,16,5.5,89,0,0.4337
19,35,3,24.75,37,0,0.7299
17,34.5,5,21.25,41,0,0.7888
17.5,34,1,7,36,0,0.7411
19.5,34.5,3,8.5,41,0,0.8351
19,20.5,19,13.5,43,0,0.8967
18.5,21,35,10.25,83,0,0.5377
19.5,25,21,23,45,0,0.8246
19,18,32,35.25,33,0,0.7222
19.5,34.5,3,45.75,37,0,0.6614
18.5,37.5,3,22.75,40,0,0.7756
20,33,3,14.75,36,0,0.7471
18,30,1,42.75,29,0,0.5646
21,28.5,5,4.75,44,0,0.9331
20.5,27,11,29.25,30,0,0.7396
20,33,5,23.75,41,0,0.7148
19.5,26.5,12,26.25,31,0,0.7806
16.5,20.5,16,12,45,0,0.9054
17.5,23.5,15,18.75,43,0,0.798
19,23.5,13,8.75,49,0,0.9302
18.5,21.5,23,10,71,0,0.6893
21.5,37,18,49.75,43,0,0.8651
19.5,35.5,9,48.5,40,0,0.7613
20,35,13,12.75,51,0,1.0191
18,36,13,10.75,58,0,1.0161
20,30,32,47.25,40,0,0.8831
21,30,34,15,73,0,0.7694
18,26,23,46.5,38,0,0.7567
18.5,22,31,10.75,74,0,0.6525
18.5,21,20,29.75,32,0,0.7428
18,27,44,46.25,49,0,0.8755
19,25.5,48,46.5,42,0,0.9061
18,20,28,16.75,48,0,0.9361
20,25.5,20,9.75,67,0,0.8329
17,32,30,19.25,61,0,0.956
18,21.5,15,16.25,35,0,0.8323
17,23,29,33.75,39,0,0.8469
18.5,28.5,14,47.5,32,0,0.7361
17,32.5,15,24,48,0,0.894
18.5,33,4,13.5,43,0,0.7635
18,30,1,5.5,34,0,0.6919
17,27,7,33.25,32,0,0.6661
18.5,27.5,12,39.25,31,0,0.7286
17.5,26,6,36.75,29,0,0.6176
21,27.5,14,36.25,34,0,0.7292
16.5,29.5,3,11,36,0,0.7415
20,32,6,24.75,37,0,0.7423
17.5,31,10,11.25,50,0,0.9348
18.5,28,8,43.25,35,0,0.6392
19,22.5,35,27.25,52,0,0.8396
17.5,19,34,16.25,59,0,0.9096
17.5,23.5,20,13.5,60,0,0.8453
18.5,21,27,46.5,31,0,0.7083
16,24,28,21.25,57,0,0.873
18.5,28,19,11,66,0,0.8223
17,22.5,28,12.75,66,0,0.7615
17.5,24,10,31.5,28,0,0.6784
15,21.5,19,45.25,26,0,0.7129
16.5,18.5,11,46.75,17,0,0.5441
18,20,12,23,22,0,0.6952
15.5,16.5,12,9,35,0,0.89
16.5,31.5,8,34.5,33,0,0.7829
19,34.5,7,35,35,0,0.7901
19,31.5,10,22.25,37,0,0.8521
16,34.5,8,20.5,40,0,0.9054
19,23.5,36,15.75,58,0,0.9891
19,18.5,19,8.5,49,0,1.0014
17.5,20.5,18,15.75,33,0,0.8877
17,23.5,37,39,37,0,0.9063
20,37,1,39.25,29,0,0.7229
18,34,0,32.5,29,0,0.5926
19,38.5,5,17.25,38,0,0.9252
22,39.5,3,4,45,0,1.069
20,28,10,3,71,0,0.7444
17.5,30.5,13,50,30,0,0.7831
19,33.5,10,48,33,0,0.7901
17.5,32,10,46,33,0,0.771
18,24,21,32.75,29,0,0.8226
18,27,23,44.5,30,0,0.8346
17,25,10,14,31,0,0.8722
17.5,27,18,17.5,36,0,1.0129
21,37,13,17.5,45,0,1.0229
21,35,5,9.5,35,0,0.9696
21.5,35.5,7,13.75,41,0,0.9167
20.5,32.5,18,32.25,33,0,0.9396
18.5,30.5,29,38,39,0,0.9622
19,29,13,31.75,33,0,0.7986
20,30,33,43.25,37,0,0.9435
20.5,28,17,9.75,50,0,1.045
17.5,24,24,41.5,30,0,0.7934
20,20.5,34,12.25,56,0,1.0475
17,23,42,12.5,82,0,0.5682
19.5,26,24,27.25,31,0,0.9308
19,23.5,35,47,27,0,0.8417
19.5,29.5,28,18.25,53,0,1.0182
19.5,21.5,22,17.5,31,0,0.9255
20,30.5,33,26.25,48,0,1.0136
17.5,28,9,30,29,0,0.752
20.5,28.5,6,27.25,29,0,0.6894
17,35,15,30.5,40,0,0.9545
20.5,35,8,4,56,0,1.1106
